Student ID,Placement 1,Placement 2,Year
S036,MA4042 Calculus I,,Junior
S037,MAxxxx Advanced Maths,,Junior
S038,MA4042 Calculus I,,Junior
S039,MA4042 Calculus I,,Junior
S040,MA4000 Precalculus,,Junior
S041,MAxxxx Advanced Maths,,Junior
S042,MA4000 Precalculus,,Junior
S043,MAxxxx Advanced Maths,,Junior
S044,MA4042 Calculus I,,Junior
S045,MA4042 Calculus I,,Junior
S046,MA4000 Precalculus,,Junior
S047,MA4042 Calculus I,,Junior
S048,MA4012 Calculus Ia,,Junior
S049,MA4042 Calculus I,,Junior
S050,MA4046 Calculus II,,Junior
S051,MA4012 Calculus Ia,,Junior
S052,MA4000 Precalculus,,Junior
S053,MAxxxx Advanced Maths,,Junior
S054,MA4046 Calculus II,,Junior
S055,MA4000 Precalculus,,Junior
S056,MA4012 Calculus Ia,,Junior
S057,MA4000 Precalculus,,Junior
S058,MA4042 Calculus I,,Junior
S059,MA4012 Calculus Ia,,Junior
S060,MA4046 Calculus II,,Junior
S061,MAxxxx Advanced Maths,,Junior
S062,MA4042 Calculus I,,Junior
S063,MA4000 Precalculus,,Junior
S064,MA4042 Calculus I,,Junior
S065,MAxxxx Advanced Maths,,Junior
S066,MA4042 Calculus I,,Junior
S067,MA4012 Calculus Ia,,Junior
S068,MA4042 Calculus I,,Junior
S069,MA4042 Calculus I,,Junior
S070,MA4042 Calculus I,,Junior
S071,MA4000 Precalculus,,Junior
S072,MA4042 Calculus I,,Junior
S073,MA4042 Calculus I,,Junior
S074,MA4042 Calculus I,,Junior
S075,MA4042 Calculus I,,Junior
S076,MA4042 Calculus I,,Junior
S077,MA4000 Precalculus,,Junior
S078,MA4000 Precalculus,,Junior
S079,MA4000 Precalculus,,Junior
S080,MAxxxx Advanced Maths,,Junior
S081,MA4042 Calculus I,,Junior
S082,MA4042 Calculus I,,Junior
S083,MAxxxx Advanced Maths,,Junior
S084,MA4000 Precalculus,,Junior
S085,MA4000 Precalculus,,Junior
S086,MA4000 Precalculus,,Junior
S087,MA4000 Precalculus,,Junior
S088,MA4042 Calculus I,,Junior
S089,MA4000 Precalculus,,Junior
S090,MA4042 Calculus I,,Junior
S091,MA4000 Precalculus,,Junior
S093,MA4000 Precalculus,,Junior
S094,MA4012 Calculus Ia,,Junior
S095,MA4000 Precalculus,,Junior
S096,MA4000 Precalculus,,Junior
S097,MA4000 Precalculus,,Junior
S098,MA4042 Calculus I,,Junior
S099,MA4000 Precalculus,,Junior
S100,MA4000 Precalculus,,Junior
S102,MAxxxx Advanced Maths,,Junior
S103,MA4012 Calculus Ia,,Junior
S104,MA4042 Calculus I,,Junior
S105,MAxxxx Advanced Maths,,Junior
S106,MA4042 Calculus I,,Junior
S107,MA4042 Calculus I,,Junior
S108,MA4000 Precalculus,,Junior
S109,MA4000 Precalculus,,Junior
S110,MAxxxx Advanced Maths,,Junior
S111,MA4042 Calculus I,,Junior
S112,MA4046 Calculus II,,Junior
S113,MAxxxx Advanced Maths,,Junior
S114,MAxxxx Advanced Maths,,Junior
S115,MA4000 Precalculus,,Junior
S116,MA4000 Precalculus,,Junior
S117,MA4000 Precalculus,,Junior
S118,MA4042 Calculus I,,Junior
S119,MA4012 Calculus Ia,,Junior
S120,MAxxxx Advanced Maths,,Junior
S121,MA4042 Calculus I,,Junior
S122,MA4000 Precalculus,,Junior
S123,MA4012 Calculus Ia,,Junior
S124,MAxxxx Advanced Maths,,Junior
S125,MA4042 Calculus I,,Junior
S126,MA4000 Precalculus,,Junior
S127,MA4000 Precalculus,,Junior
S128,MAxxxx Advanced Maths,,Junior
S129,MA4042 Calculus I,,Junior
S130,MAxxxx Advanced Maths,,Junior
S131,MAxxxx Advanced Maths,,Junior
S132,MA4042 Calculus I,,Junior
S133,MAxxxx Advanced Maths,,Junior
S134,MAxxxx Advanced Maths,,Junior
S135,MA4042 Calculus I,,Junior
S136,MAxxxx Advanced Maths,,Junior
S137,MA4042 Calculus I,,Junior
