Class,Course,Section,Course code,School level,Start term,Block,Max class size
MR3080 Mentorship: Foundations in Research - MR3080-004D,MR3080 Mentorship: Foundations in Research,MR3080-004D,MR3080,NCSSM Durham,2nd Semester,I3,40
MR3080 Mentorship: Foundations in Research - MR3080-006M,MR3080 Mentorship: Foundations in Research,MR3080-006M,MR3080,NCSSM Durham,2nd Semester,I3,40
MR4051 Mentorship: Senior Research II - MR4051-001,MR4051 Mentorship: Senior Research II,MR4051-001,MR4051,NCSSM Durham,2nd Semester,F124LG2L4,100
MU3500 Classical Piano and Guitar - MU3500-003,MU3500 Classical Piano and Guitar,MU3500-003,MU3500,NCSSM Durham,2nd Semester,C145,20
MU3500 Classical Piano and Guitar - MU3500-004,MU3500 Classical Piano and Guitar,MU3500-004,MU3500,NCSSM Durham,2nd Semester,G234,20
MU4100 Chorale - MU4100-002,MU4100 Chorale,MU4100-002,MU4100,NCSSM Durham,2nd Semester,E13L5L,99
MU4100 Chorale - MU4100-04,MU4100 Chorale,MU4100-04,MU4100,NCSSM Durham,2nd Semester,M123,99
MU4110 Wind Ensemble - MU4110-002,MU4110 Wind Ensemble,MU4110-002,MU4110,NCSSM Durham,2nd Semester,H24,99
MU4110 Wind Ensemble - MU4110-003,MU4110 Wind Ensemble,MU4110-003,MU4110,NCSSM Durham,2nd Semester,M24,99
MU4120 Jazz Performance Workshop - MU4120-002,MU4120 Jazz Performance Workshop,MU4120-002,MU4120,NCSSM Durham,2nd Semester,E13L5,99
MU4120 Jazz Performance Workshop - MU4120-004,MU4120 Jazz Performance Workshop,MU4120-004,MU4120,NCSSM Durham,2nd Semester,M24,99
MU4130 Orchestra - MU4130-002,MU4130 Orchestra,MU4130-002,MU4130,NCSSM Durham,2nd Semester,H24,99
MU4130 Orchestra - MU4130-003,MU4130 Orchestra,MU4130-003,MU4130,NCSSM Durham,2nd Semester,M24,99
MU4310 AP Music Theory - MU4310-001,MU4310 AP Music Theory,MU4310-001,MU4310,NCSSM Durham,2nd Semester,M24,12
PA1005 Weight Trng/Sprts & Fitness - PA1005-005,PA1005 Weight Trng/Sprts & Fitness,PA1005-005,PA1005,NCSSM Durham,2nd Semester,C3L,16
PA1005 Weight Trng/Sprts & Fitness - PA1005-006,PA1005 Weight Trng/Sprts & Fitness,PA1005-006,PA1005,NCSSM Durham,2nd Semester,E3L,16
PA1005 Weight Trng/Sprts & Fitness - PA1005-007,PA1005 Weight Trng/Sprts & Fitness,PA1005-007,PA1005,NCSSM Durham,2nd Semester,D5L,16
PA1005 Weight Trng/Sprts & Fitness - PA1005-008,PA1005 Weight Trng/Sprts & Fitness,PA1005-008,PA1005,NCSSM Durham,2nd Semester,E5L,16
PA1007 Pilates & Yoga - PA007-003,PA1007 Pilates & Yoga,PA007-003,PA1007,NCSSM Durham,2nd Semester,A2L,24
PA1007 Pilates & Yoga - PA007-004,PA1007 Pilates & Yoga,PA007-004,PA1007,NCSSM Durham,2nd Semester,G2L,24
PA1009 Hiking - PA1009-005,PA1009 Hiking,PA1009-005,PA1009,NCSSM Durham,2nd Semester,B4L,10
